InputSize,RuntimeSeconds
1000,0.000132
2000,0.0002463
3000,0.0008136
4000,0.0006415
5000,0.0006619
6000,0.000983
7000,0.001271
8000,0.0012003
9000,0.0012794
10000,0.0013806
11000,0.001372
12000,0.0015394
13000,0.0016857
14000,0.0019235
15000,0.0023792
16000,0.0024609
17000,0.0026329
18000,0.0028357
19000,0.0030627
20000,0.0032667
21000,0.0033497
22000,0.0034896
23000,0.0036894
24000,0.0039491
25000,0.0040483
26000,0.0065285
27000,0.0035086
28000,0.0032574
29000,0.0033788
30000,0.0035434
31000,0.0036215
32000,0.0037314
33000,0.0038453
34000,0.0040051
35000,0.0041977
36000,0.0043027
37000,0.0053709
38000,0.0058672
39000,0.0067918
40000,0.0049415
41000,0.0051579
42000,0.0054301
43000,0.0054199
44000,0.0052727
45000,0.0054802
46000,0.0055601
47000,0.0064694
48000,0.0066675
49000,0.0058565
50000,0.0060266
51000,0.006205
52000,0.00668
53000,0.0064899
54000,0.0075572
55000,0.008035
56000,0.0068776
57000,0.0068475
58000,0.0079134
59000,0.0070543
60000,0.0072003
61000,0.0082038
62000,0.0091214
63000,0.0104947
64000,0.0313797
65000,0.0080785
66000,0.0086464
67000,0.0087254
68000,0.008204
69000,0.0086489
70000,0.0090338
71000,0.010181
72000,0.0089905
73000,0.0090493
74000,0.0087482
75000,0.0094924
76000,0.0097182
77000,0.0092016
78000,0.0096183
79000,0.0099805
80000,0.0097592
81000,0.0097806
82000,0.010716
83000,0.0110488
84000,0.0106206
85000,0.0123532
86000,0.0114445
87000,0.0109328
88000,0.0107229
89000,0.0111166
90000,0.0114129
91000,0.0117025
92000,0.0112728
93000,0.0131361
94000,0.0126516
95000,0.0122674
96000,0.0123824
97000,0.011847
98000,0.0133497
99000,0.0127609
100000,0.0136363
101000,0.0156413
102000,0.0131805
103000,0.0129799
104000,0.0128711
105000,0.0132276
106000,0.0142948
107000,0.0137684
108000,0.0145398
109000,0.0146454
110000,0.0142367
111000,0.0139946
112000,0.014272
113000,0.0140991
114000,0.0140867
115000,0.0142782
116000,0.0221456
117000,0.0152857
118000,0.0148372
119000,0.0150698
120000,0.0152547
121000,0.0150931
122000,0.0174473
123000,0.0166094
124000,0.0159688
125000,0.015874
126000,0.0166366
127000,0.0165212
128000,0.0285268
129000,0.0163894
130000,0.0167801
131000,0.0166487
132000,0.0166396
133000,0.0170206
134000,0.0246211
135000,0.0187349
136000,0.0181645
137000,0.0178949
138000,0.0177904
139000,0.0188256
140000,0.0198812
141000,0.0178077
142000,0.0182916
143000,0.0177667
144000,0.0183732
145000,0.0410773
146000,0.0188626
147000,0.0191206
148000,0.0190177
149000,0.0191391
150000,0.0211776
151000,0.020485
152000,0.0190593
153000,0.0199846
154000,0.0199761
155000,0.021713
156000,0.021379
157000,0.0222892
158000,0.0203957
159000,0.020906
160000,0.0216053
161000,0.0215474
162000,0.0216347
163000,0.0205322
164000,0.0242042
165000,0.022541
166000,0.0214332
167000,0.0221146
168000,0.0214303
169000,0.0216069
170000,0.0246505
171000,0.0216874
172000,0.0223777
173000,0.0297093
174000,0.023202
175000,0.0231025
176000,0.0225996
177000,0.0271867
178000,0.0247952
179000,0.0242754
180000,0.0481973
181000,0.0261301
182000,0.0239108
183000,0.0239414
184000,0.0263132
185000,0.0276605
186000,0.0274785
187000,0.024177
188000,0.025223
189000,0.0412399
190000,0.024692
191000,0.0246966
192000,0.0285721
193000,0.0248016
194000,0.0250133
195000,0.0254355
196000,0.0307407
197000,0.0255757
198000,0.0256924
199000,0.0268205
200000,0.0261772
201000,0.0260231
202000,0.0260215
203000,0.0466319
204000,0.0262175
205000,0.0264497
206000,0.026272
207000,0.0288645
208000,0.0263939
209000,0.0279346
210000,0.0274149
211000,0.0364233
212000,0.0275018
213000,0.0277553
214000,0.0310932
215000,0.0419921
216000,0.0279377
217000,0.0396657
218000,0.0282397
219000,0.0289764
220000,0.0314425
221000,0.0402258
222000,0.0293369
223000,0.0301695
224000,0.0297102
225000,0.0386498
226000,0.0305271
227000,0.030036
228000,0.0295055
229000,0.033592
230000,0.0321285
231000,0.0301671
232000,0.0331612
233000,0.0299091
234000,0.029879
235000,0.0320055
236000,0.0346529
237000,0.0307564
238000,0.0312818
239000,0.046738
240000,0.031038
241000,0.0325148
242000,0.0365903
243000,0.0312232
244000,0.0533704
245000,0.0318746
246000,0.0322381
247000,0.043148
248000,0.0348166
249000,0.0330917
250000,0.0365763
251000,0.0341373
252000,0.0327882
253000,0.0350152
254000,0.0337437
255000,0.0338811
256000,0.037824
257000,0.0334806
258000,0.0332728
259000,0.035955
260000,0.0351578
261000,0.0345586
262000,0.0376379
263000,0.0358568
264000,0.0343281
265000,0.0369201
266000,0.0344287
267000,0.0355008
268000,0.0381169
269000,0.0366674
270000,0.0353647
271000,0.0731955
272000,0.0360413
273000,0.035611
274000,0.0386911
275000,0.0364068
276000,0.0372211
277000,0.039485
278000,0.0369656
279000,0.0380261
280000,0.0402051
281000,0.037312
282000,0.0382784
283000,0.0401406
284000,0.0382458
285000,0.0376442
286000,0.0421484
287000,0.0392486
288000,0.0385896
289000,0.0411395
290000,0.0395675
291000,0.0399317
292000,0.0395836
293000,0.0430486
294000,0.0480735
295000,0.0600536
296000,0.0448119
297000,0.0424106
298000,0.0451022
299000,0.0446724
300000,0.0399781
301000,0.043352
302000,0.0496428
303000,0.0409416
304000,0.0431643
305000,0.0430438
306000,0.0417098
307000,0.0457307
308000,0.0411634
309000,0.0449383
310000,0.0424805
311000,0.0453463
312000,0.0464128
313000,0.0420294
314000,0.0442987
315000,0.0446271
316000,0.043216
317000,0.0694972
318000,0.0432223
319000,0.0431598
320000,0.0455214
321000,0.0455656
322000,0.0426816
323000,0.045465
324000,0.0433439
325000,0.059597
326000,0.0441086
327000,0.0442944
328000,0.0470139
329000,0.0435232
330000,0.0454896
331000,0.0439868
332000,0.0471015
333000,0.044914
334000,0.0465062
335000,0.0467194
336000,0.0458407
337000,0.0553336
338000,0.0604355
339000,0.0486652
340000,0.0461312
341000,0.0484186
342000,0.046099
343000,0.0494268
344000,0.0479091
345000,0.058164
346000,0.0475195
347000,0.0502958
348000,0.0482655
349000,0.0510168
350000,0.0468675
351000,0.0588986
352000,0.0473517
353000,0.0494762
354000,0.0473483
355000,0.0490071
356000,0.0485624
357000,0.0704995
358000,0.0593196
359000,0.0488714
360000,0.050797
361000,0.0483033
362000,0.0510472
363000,0.0485
364000,0.0528018
365000,0.0479423
366000,0.0535866
367000,0.0515814
368000,0.0631986
369000,0.050838
370000,0.0518696
371000,0.050602
372000,0.0527127
373000,0.0504162
374000,0.0682192
375000,0.0770307
376000,0.0553451
377000,0.0636539
378000,0.053115
379000,0.0549009
380000,0.0555255
381000,0.0510133
382000,0.0546197
383000,0.052303
384000,0.0614751
385000,0.0515699
386000,0.0594642
387000,0.0644377
388000,0.0526881
389000,0.0558939
390000,0.0548033
391000,0.0552047
392000,0.053014
393000,0.0693622
394000,0.0542884
395000,0.0698402
396000,0.0558801
397000,0.0539989
398000,0.0574923
399000,0.0554404
400000,0.0562544
401000,0.0537046
402000,0.0604267
403000,0.0544127
404000,0.0631349
405000,0.0771359
406000,0.0559279
407000,0.0585918
408000,0.061051
409000,0.0759506
410000,0.0618408
411000,0.0599134
412000,0.0616614
413000,0.0614121
414000,0.0624021
415000,0.0572643
416000,0.0617266
417000,0.0598853
418000,0.0711555
419000,0.059493
420000,0.0577239
421000,0.0689801
422000,0.0703638
423000,0.0589322
424000,0.0898094
425000,0.0728732
426000,0.063712
427000,0.05897
428000,0.0678616
429000,0.0594435
430000,0.0611574
431000,0.0600353
432000,0.0604009
433000,0.0783618
434000,0.0597356
435000,0.079514
436000,0.0623006
437000,0.0616921
438000,0.0712717
439000,0.0801655
440000,0.0715464
441000,0.062987
442000,0.0666494
443000,0.0615175
444000,0.0614927
445000,0.0623843
446000,0.061473
447000,0.0861977
448000,0.0647462
449000,0.0622808
450000,0.0732034
451000,0.0644274
452000,0.0616264
453000,0.0971588
454000,0.0650093
455000,0.0618688
456000,0.0769923
457000,0.0753981
458000,0.0638157
459000,0.065754
460000,0.0650095
461000,0.0626725
462000,0.0674552
463000,0.0632893
464000,0.0735062
465000,0.0745256
466000,0.0742421
467000,0.0773244
468000,0.078252
469000,0.086193
470000,0.0695801
471000,0.0673702
472000,0.0781314
473000,0.0798022
474000,0.0671386
475000,0.0759423
476000,0.0757829
477000,0.0663844
478000,0.0779365
479000,0.0688751
480000,0.0879369
481000,0.0732664
482000,0.0657462
483000,0.0676748
484000,0.0774159
485000,0.0679351
486000,0.0808396
487000,0.0781731
488000,0.0659832
489000,0.0679771
490000,0.0689823
491000,0.0682575
492000,0.0704363
493000,0.0678809
494000,0.0801833
495000,0.0793299
496000,0.070709
497000,0.071166
498000,0.069816
499000,0.0719395
500000,0.0701451
501000,0.0686505
502000,0.0713553
503000,0.0713173
504000,0.0735411
505000,0.0695634
506000,0.081599
507000,0.0942504
508000,0.07041
509000,0.0685342
510000,0.0978883
511000,0.0739481
512000,0.0709549
513000,0.0806484
514000,0.0752952
515000,0.0754826
516000,0.0712869
517000,0.0794121
518000,0.0827852
519000,0.072649
520000,0.096842
521000,0.0730094
522000,0.0785094
523000,0.0715954
524000,0.0818685
525000,0.0749818
526000,0.0739974
527000,0.0714999
528000,0.0785014
529000,0.073752
530000,0.088625
531000,0.0891192
532000,0.0866306
533000,0.0873428
534000,0.0756761
535000,0.0776337
536000,0.0852259
537000,0.0749254
538000,0.0762104
539000,0.0835308
540000,0.0762085
541000,0.0775879
542000,0.0831232
